Style_No,Pack_Qty,Product,Fabric_Type,Order_Category,Country,Price,Quantity,Pre,Temp,CCI,Order_Month
TOBIE LS SB,5,T-SHIRTS,SINGLE JERSEY,ONLINE,Australia,1.07,4080,17.04,21.28,99.24825,9
TOBIE LS SB,5,T-SHIRTS,SINGLE JERSEY,ONLINE,China,1.07,16640,80.39,14.96,102.8876,9
TOBIE LS SB,5,T-SHIRTS,SINGLE JERSEY,ONLINE,Mexico,1.07,4000,132.42,24.04,97.3355,9
TOBIE LS SB,5,T-SHIRTS,SINGLE JERSEY,ONLINE,Turkey,1.07,8160,11.38,21.58,97.79404,9
BERTIL SS SB,1,T-SHIRTS,SINGLE JERSEY,ONLINE,Australia,0.96,768,17.04,21.28,99.24825,9
BERTIL SS SB,1,T-SHIRTS,SINGLE JERSEY,ONLINE,China,0.96,2656,80.39,14.96,102.8876,9
BERTIL SS SB,1,T-SHIRTS,SINGLE JERSEY,ONLINE,Italy,0.96,15792,82.67,19.65,100.0555,9
BERTIL SS SB,1,T-SHIRTS,SINGLE JERSEY,ONLINE,Mexico,0.96,720,132.42,24.04,97.3355,9
BERTIL SS SB,1,T-SHIRTS,SINGLE JERSEY,ONLINE,Sweden,0.96,16912,59.13,9.7,100.5469,9
BERTIL SS SB,1,T-SHIRTS,SINGLE JERSEY,ONLINE,Turkey,0.96,1648,11.38,21.58,97.79404,9
TOBIE LS SB,3,T-SHIRTS,SINGLE JERSEY,ONLINE,Australia,1.08,2880,17.04,21.28,99.24825,9
TOBIE LS SB,3,T-SHIRTS,SINGLE JERSEY,ONLINE,China,1.08,16704,80.39,14.96,102.8876,9
TOBIE LS SB,3,T-SHIRTS,SINGLE JERSEY,ONLINE,Mexico,1.08,3024,132.42,24.04,97.3355,9
TOBIE LS SB,3,T-SHIRTS,SINGLE JERSEY,ONLINE,Turkey,1.08,8112,11.38,21.58,97.79404,9
TP BERTIL SS SB,3,T-SHIRTS,SINGLE JERSEY,ONLINE,Australia,0.94,1824,17.04,21.28,99.24825,9
TP BERTIL SS SB,3,T-SHIRTS,SINGLE JERSEY,ONLINE,China,0.94,9216,80.39,14.96,102.8876,9
TP BERTIL SS SB,3,T-SHIRTS,SINGLE JERSEY,ONLINE,Mexico,0.94,1776,132.42,24.04,97.3355,9
TP BERTIL SS SB,3,T-SHIRTS,SINGLE JERSEY,ONLINE,Turkey,0.94,5376,11.38,21.58,97.79404,9
BERTIL SS SB,5,T-SHIRTS,SINGLE JERSEY,ONLINE,Australia,0.98,4560,17.04,21.28,99.24825,9
BERTIL SS SB,5,T-SHIRTS,SINGLE JERSEY,ONLINE,China,0.98,20000,80.39,14.96,102.8876,9
BERTIL SS SB,5,T-SHIRTS,SINGLE JERSEY,ONLINE,Mexico,0.98,4320,132.42,24.04,97.3355,9
BERTIL SS SB,5,T-SHIRTS,SINGLE JERSEY,ONLINE,Turkey,0.98,10240,11.38,21.58,97.79404,9
LS RIB SET,1,T-SHIRTS,RIB,ONLINE,Australia,1.3,1230,17.04,21.28,99.24825,9
LS RIB SET,1,T-SHIRTS,RIB,ONLINE,China,1.3,3150,80.39,14.96,102.8876,9
LS RIB SET,1,T-SHIRTS,RIB,ONLINE,Mexico,1.3,840,132.42,24.04,97.3355,9
LS RIB SET,1,T-SHIRTS,RIB,ONLINE,Turkey,1.3,4695,11.38,21.58,97.79404,9
LS RIB SET,1,TROUSERS,RIB,ONLINE,Australia,1.3,1230,17.04,21.28,99.24825,9
LS RIB SET,1,TROUSERS,RIB,ONLINE,China,1.3,3150,80.39,14.96,102.8876,9
LS RIB SET,1,TROUSERS,RIB,ONLINE,Mexico,1.3,840,132.42,24.04,97.3355,9
LS RIB SET,1,TROUSERS,RIB,ONLINE,Turkey,1.3,4695,11.38,21.58,97.79404,9
LS RIB SET,1,T-SHIRTS,RIB,ONLINE,Australia,1.3,1485,17.04,21.28,99.24825,9
LS RIB SET,1,T-SHIRTS,RIB,ONLINE,China,1.3,3810,80.39,14.96,102.8876,9
LS RIB SET,1,T-SHIRTS,RIB,ONLINE,Mexico,1.3,1005,132.42,24.04,97.3355,9
LS RIB SET,1,T-SHIRTS,RIB,ONLINE,Sweden,1.3,18390,59.13,9.7,100.5469,9
LS RIB SET,1,T-SHIRTS,RIB,ONLINE,Turkey,1.3,18150,11.38,21.58,97.79404,9
LS RIB SET,1,TROUSERS,RIB,ONLINE,Australia,1.3,1485,17.04,21.28,99.24825,9
LS RIB SET,1,TROUSERS,RIB,ONLINE,China,1.3,3810,80.39,14.96,102.8876,9
LS RIB SET,1,TROUSERS,RIB,ONLINE,Mexico,1.3,1005,132.42,24.04,97.3355,9
LS RIB SET,1,TROUSERS,RIB,ONLINE,Sweden,1.3,18390,59.13,9.7,100.5469,9
LS RIB SET,1,TROUSERS,RIB,ONLINE,Turkey,1.3,18150,11.38,21.58,97.79404,9
ALGOT 5P BODY LS,5,BODY,RIB,ONLINE,Australia,1.47,3840,17.04,21.28,99.24825,9
ALGOT 5P BODY LS,5,BODY,RIB,ONLINE,China,1.47,10400,80.39,14.96,102.8876,9
ALGOT 5P BODY LS,5,BODY,RIB,ONLINE,Mexico,1.47,6480,132.42,24.04,97.3355,9
ALGOT 5P BODY LS,5,BODY,RIB,ONLINE,Turkey,1.47,12320,11.38,21.58,97.79404,9
ALGOT BODY,2,BODY,RIB,STORE,China,1.58,2950,80.39,14.96,102.8876,9
ALGOT BODY,2,BODY,RIB,STORE,Mexico,1.58,10850,132.42,24.04,97.3355,9
ALGOT BODY,2,BODY,RIB,STORE,Turkey,1.58,7900,11.38,21.58,97.79404,9
ALGOT BODY,2,BODY,RIB,STORE,China,1.59,9850,80.39,14.96,102.8876,9
ALGOT 2P CAP,2,CAP,RIB,STORE,China,0.75,1092,80.39,14.96,102.8876,9
ALGOT 2P CAP,2,CAP,RIB,STORE,Mexico,0.75,4452,132.42,24.04,97.3355,9
ALGOT 2P CAP,2,CAP,RIB,STORE,Switzerland,0.75,13272,81.43,12.97,99.01547,9
ALGOT 2P CAP,2,CAP,RIB,STORE,Turkey,0.75,3486,11.38,21.58,97.79404,9
ALGOT BODY,3,BODY,RIB,ONLINE,Australia,1.64,2940,17.04,21.28,99.24825,9
ALGOT BODY,3,BODY,RIB,ONLINE,Mexico,1.64,4368,132.42,24.04,97.3355,9
ALGOT BODY,3,BODY,RIB,ONLINE,Turkey,1.64,11508,11.38,21.58,97.79404,9
ALGOT 3P TIGHTS,3,TIGHTS,RIB,ONLINE,Australia,1.24,2310,17.04,21.28,99.24825,9
ALGOT 3P TIGHTS,3,TIGHTS,RIB,ONLINE,Mexico,1.24,3402,132.42,24.04,97.3355,9
ALGOT 3P TIGHTS,3,TIGHTS,RIB,ONLINE,Turkey,1.24,8946,11.38,21.58,97.79404,9
ALGOT 3P TIGHTS,3,TIGHTS,RIB,ONLINE,Australia,1.12,4416,17.04,21.28,99.24825,9
ALGOT 3P TIGHTS,3,TIGHTS,RIB,ONLINE,China,1.12,16176,80.39,14.96,102.8876,9
ALGOT 3P TIGHTS,3,TIGHTS,RIB,ONLINE,Mexico,1.12,6528,132.42,24.04,97.3355,9
ALGOT 3P TIGHTS,3,TIGHTS,RIB,ONLINE,Turkey,1.12,17280,11.38,21.58,97.79404,9
ALGOT BODY,3,BODY,RIB,ONLINE,Australia,1.5,4416,17.04,21.28,99.24825,9
ALGOT BODY,3,BODY,RIB,ONLINE,China,1.5,16176,80.39,14.96,102.8876,9
ALGOT BODY,3,BODY,RIB,ONLINE,Mexico,1.5,6528,132.42,24.04,97.3355,9
ALGOT BODY,3,BODY,RIB,ONLINE,Turkey,1.5,17280,11.38,21.58,97.79404,9
ALGOT 2P CAP,2,CAP,RIB,STORE,China,0.74,1900,80.39,14.96,102.8876,9
ALGOT 2P CAP,2,CAP,RIB,STORE,Mexico,0.74,9000,132.42,24.04,97.3355,9
ALGOT 2P CAP,2,CAP,RIB,STORE,Turkey,0.74,6400,11.38,21.58,97.79404,9
TOBIE LS SB,3,T-SHIRTS,SINGLE JERSEY,ONLINE,Australia,1.05,2256,17.04,21.28,99.24825,9
TOBIE LS SB,3,T-SHIRTS,SINGLE JERSEY,ONLINE,China,1.05,15408,80.39,14.96,102.8876,9
TOBIE LS SB,3,T-SHIRTS,SINGLE JERSEY,ONLINE,Mexico,1.05,1584,132.42,24.04,97.3355,9
TOBIE LS SB,3,T-SHIRTS,SINGLE JERSEY,ONLINE,Turkey,1.05,7248,11.38,21.58,97.79404,9
ALGOT 5P BODY LS,5,BODY,RIB,ONLINE,Australia,1.4,4880,17.04,21.28,99.24825,9
ALGOT 5P BODY LS,5,BODY,RIB,ONLINE,China,1.4,10000,80.39,14.96,102.8876,9
ALGOT 5P BODY LS,5,BODY,RIB,ONLINE,Mexico,1.4,6800,132.42,24.04,97.3355,9
ALGOT 5P BODY LS,5,BODY,RIB,ONLINE,Turkey,1.4,16080,11.38,21.58,97.79404,9
BOBO TIGHTS,5,TIGHTS,RIB,ONLINE,Australia,0.95,825,17.04,21.28,99.24825,9
BOBO TIGHTS,5,TIGHTS,RIB,ONLINE,Mexico,0.95,1200,132.42,24.04,97.3355,9
BOBO TIGHTS,5,TIGHTS,RIB,ONLINE,Sweden,0.95,17925,59.13,9.7,100.5469,9
BOBO TIGHTS,5,TIGHTS,RIB,ONLINE,Turkey,0.95,2550,11.38,21.58,97.79404,9
BOBO TIGHTS,5,TIGHTS,RIB,ONLINE,United Kingdom,0.95,19575,81.68,13.04,97.83266,9
ALGOT 5P BODY LS,5,BODY,RIB,ONLINE,Australia,1.41,11120,17.04,21.28,99.24825,9
ALGOT 5P BODY LS,5,BODY,RIB,ONLINE,Mexico,1.41,19360,132.42,24.04,97.3355,9
ALGOT 5P BODY LS,5,BODY,RIB,ONLINE,Australia,1.4,2240,17.04,21.28,99.24825,9
ALGOT 5P BODY LS,5,BODY,RIB,ONLINE,China,1.4,5920,80.39,14.96,102.8876,9
ALGOT 5P BODY LS,5,BODY,RIB,ONLINE,Mexico,1.4,3120,132.42,24.04,97.3355,9
ALGOT 5P BODY LS,5,BODY,RIB,ONLINE,Turkey,1.4,6800,11.38,21.58,97.79404,9
ALGOT BODY,3,BODY,RIB,ONLINE,Australia,1.48,1710,17.04,21.28,99.24825,9
ALGOT BODY,3,BODY,RIB,ONLINE,Mexico,1.48,2520,132.42,24.04,97.3355,9
ALGOT BODY,3,BODY,RIB,ONLINE,Turkey,1.48,7020,11.38,21.58,97.79404,9
TOBIE LS SB,3,T-SHIRTS,SINGLE JERSEY,STORE,Sweden,1.05,14256,59.13,9.7,100.5469,9
TOBIE LS SB,3,T-SHIRTS,SINGLE JERSEY,STORE,United States,1.05,9000,56.72,16.75,99.11648000000001,9
TOBIE LS SB,3,T-SHIRTS,SINGLE JERSEY,STORE,New Zealand,1.09,9090,137.87,8.4,98.50219,9
TOBIE LS SB,3,T-SHIRTS,SINGLE JERSEY,STORE,South Africa,1.09,11655,19.05,16.57,96.68301,9
TOBIE LS SB,3,T-SHIRTS,SINGLE JERSEY,STORE,Australia,1.08,17730,17.04,21.28,99.24825,9
TOBIE LS SB,3,T-SHIRTS,SINGLE JERSEY,STORE,New Zealand,1.08,11940,137.87,8.4,98.50219,9
TOBIE LS SB,3,T-SHIRTS,SINGLE JERSEY,STORE,South Africa,1.08,15300,19.05,16.57,96.68301,9
TOBIE LS SB,3,T-SHIRTS,SINGLE JERSEY,STORE,Australia,1.09,5910,17.04,21.28,99.24825,9
TOBIE LS SB,3,T-SHIRTS,SINGLE JERSEY,STORE,New Zealand,1.09,1710,137.87,8.4,98.50219,9
TOBIE LS SB,3,T-SHIRTS,SINGLE JERSEY,STORE,South Africa,1.09,2190,19.05,16.57,96.68301,9
TOBIE LS SB,3,T-SHIRTS,SINGLE JERSEY,STORE,Australia,1.09,5910,17.04,21.28,99.24825,9
TOBIE LS SB,3,T-SHIRTS,SINGLE JERSEY,STORE,New Zealand,1.09,1710,137.87,8.4,98.50219,9
TOBIE LS SB,3,T-SHIRTS,SINGLE JERSEY,STORE,South Africa,1.09,2190,19.05,16.57,96.68301,9
TOBIE LS SB,3,T-SHIRTS,SINGLE JERSEY,STORE,Australia,1.09,7875,17.04,21.28,99.24825,9
TOBIE LS SB,3,T-SHIRTS,SINGLE JERSEY,STORE,New Zealand,1.09,2280,137.87,8.4,98.50219,9
TOBIE LS SB,3,T-SHIRTS,SINGLE JERSEY,STORE,South Africa,1.09,2910,19.05,16.57,96.68301,9
ALGOT 3P TIGHTS,3,TIGHTS,RIB,ONLINE,Australia,1.1,1665,26.72,23.47,100.0924,10
ALGOT 3P TIGHTS,3,TIGHTS,RIB,ONLINE,India,1.1,6570,94.42,26.12,100.0648,10
ALGOT 3P TIGHTS,3,TIGHTS,RIB,ONLINE,Japan,1.1,3645,140.3,14.3,97.51375,10
ALGOT 3P TIGHTS,3,TIGHTS,RIB,ONLINE,Mexico,1.1,2475,42.4,22.66,98.02811,10
ALGOT 3P TIGHTS,3,TIGHTS,RIB,ONLINE,South Korea,1.1,1800,15.77,13.67,98.60651,10
ALGOT 3P TIGHTS,3,TIGHTS,RIB,ONLINE,Turkey,1.1,5805,25.04,16.41,97.76004,10
ALGOT 3P TIGHTS,3,TIGHTS,RIB,ONLINE,Australia,1.09,1665,26.72,23.47,100.0924,10
ALGOT 3P TIGHTS,3,TIGHTS,RIB,ONLINE,India,1.09,11790,94.42,26.12,100.0648,10
ALGOT 3P TIGHTS,3,TIGHTS,RIB,ONLINE,Japan,1.09,3645,140.3,14.3,97.51375,10
ALGOT 3P TIGHTS,3,TIGHTS,RIB,ONLINE,Mexico,1.09,2475,42.4,22.66,98.02811,10
ALGOT 3P TIGHTS,3,TIGHTS,RIB,ONLINE,South Korea,1.09,1800,15.77,13.67,98.60651,10
ALGOT 3P TIGHTS,3,TIGHTS,RIB,ONLINE,Turkey,1.09,5805,25.04,16.41,97.76004,10
ALGOT 3P TIGHTS,3,TIGHTS,RIB,ONLINE,Australia,1.12,2970,26.72,23.47,100.0924,10
ALGOT 3P TIGHTS,3,TIGHTS,RIB,ONLINE,India,1.12,11520,94.42,26.12,100.0648,10
ALGOT 3P TIGHTS,3,TIGHTS,RIB,ONLINE,Japan,1.12,6390,140.3,14.3,97.51375,10
ALGOT 3P TIGHTS,3,TIGHTS,RIB,ONLINE,Mexico,1.12,4320,42.4,22.66,98.02811,10
ALGOT 3P TIGHTS,3,TIGHTS,RIB,ONLINE,South Korea,1.12,3150,15.77,13.67,98.60651,10
ALGOT 3P TIGHTS,3,TIGHTS,RIB,ONLINE,Turkey,1.12,10170,25.04,16.41,97.76004,10
ALGOT BODY,3,BODY,RIB,ONLINE,Australia,1.54,6210,26.72,23.47,100.0924,10
ALGOT BODY,3,BODY,RIB,ONLINE,Japan,1.54,16110,140.3,14.3,97.51375,10
ALGOT BODY,3,BODY,RIB,ONLINE,Mexico,1.54,9225,42.4,22.66,98.02811,10
ALGOT BODY,3,BODY,RIB,ONLINE,South Korea,1.54,6705,15.77,13.67,98.60651,10
ALGOT BODY,3,BODY,RIB,ONLINE,Australia,1.5,1260,26.72,23.47,100.0924,10
ALGOT BODY,3,BODY,RIB,ONLINE,India,1.5,4950,94.42,26.12,100.0648,10
ALGOT BODY,3,BODY,RIB,ONLINE,Japan,1.5,7155,140.3,14.3,97.51375,10
ALGOT BODY,3,BODY,RIB,ONLINE,Mexico,1.5,2385,42.4,22.66,98.02811,10
ALGOT BODY,3,BODY,RIB,ONLINE,South Korea,1.5,1350,15.77,13.67,98.60651,10
ALGOT BODY,3,BODY,RIB,ONLINE,Turkey,1.5,13275,25.04,16.41,97.76004,10
ALGOT BODY,3,BODY,RIB,ONLINE,Australia,1.59,855,26.72,23.47,100.0924,10
ALGOT BODY,3,BODY,RIB,ONLINE,India,1.59,3285,94.42,26.12,100.0648,10
ALGOT BODY,3,BODY,RIB,ONLINE,Japan,1.59,1845,140.3,14.3,97.51375,10
ALGOT BODY,3,BODY,RIB,ONLINE,Mexico,1.59,1575,42.4,22.66,98.02811,10
ALGOT BODY,3,BODY,RIB,ONLINE,South Korea,1.59,900,15.77,13.67,98.60651,10
ALGOT BODY,3,BODY,RIB,ONLINE,Turkey,1.59,3510,25.04,16.41,97.76004,10
ALGOT 5P BODY SS,5,BODY,RIB,ONLINE,Australia,1.29,3280,26.72,23.47,100.0924,10
ALGOT 5P BODY SS,5,BODY,RIB,ONLINE,China,1.29,7600,31.23,8.07,103.4397,10
ALGOT 5P BODY SS,5,BODY,RIB,ONLINE,India,1.29,11040,94.42,26.12,100.0648,10
ALGOT 5P BODY SS,5,BODY,RIB,ONLINE,Japan,1.29,5040,140.3,14.3,97.51375,10
ALGOT 5P BODY SS,5,BODY,RIB,ONLINE,Mexico,1.29,5760,42.4,22.66,98.02811,10
ALGOT 5P BODY SS,5,BODY,RIB,ONLINE,South Korea,1.29,2800,15.77,13.67,98.60651,10
ALGOT 5P BODY SS,5,BODY,RIB,ONLINE,Turkey,1.29,8880,25.04,16.41,97.76004,10
ALGOT BODY,3,BODY,RIB,ONLINE,Australia,1.45,2070,26.72,23.47,100.0924,10
ALGOT BODY,3,BODY,RIB,ONLINE,India,1.45,8865,94.42,26.12,100.0648,10
ALGOT BODY,3,BODY,RIB,ONLINE,Japan,1.45,4860,140.3,14.3,97.51375,10
ALGOT BODY,3,BODY,RIB,ONLINE,Mexico,1.45,3960,42.4,22.66,98.02811,10
ALGOT BODY,3,BODY,RIB,ONLINE,South Korea,1.45,2250,15.77,13.67,98.60651,10
ALGOT BODY,3,BODY,RIB,ONLINE,Turkey,1.45,11025,25.04,16.41,97.76004,10
LS RIB SET,1,T-SHIRTS,RIB,ONLINE,Australia,1.3,1485,26.72,23.47,100.0924,10
LS RIB SET,1,T-SHIRTS,RIB,ONLINE,China,1.3,3000,31.23,8.07,103.4397,10
LS RIB SET,1,T-SHIRTS,RIB,ONLINE,India,1.3,1680,94.42,26.12,100.0648,10
LS RIB SET,1,T-SHIRTS,RIB,ONLINE,Japan,1.3,2325,140.3,14.3,97.51375,10
LS RIB SET,1,T-SHIRTS,RIB,ONLINE,Mexico,1.3,1020,42.4,22.66,98.02811,10
LS RIB SET,1,T-SHIRTS,RIB,ONLINE,South Korea,1.3,540,15.77,13.67,98.60651,10
LS RIB SET,1,T-SHIRTS,RIB,ONLINE,Turkey,1.3,5250,25.04,16.41,97.76004,10
LS RIB SET,1,TROUSERS,RIB,ONLINE,Australia,1.3,1485,26.72,23.47,100.0924,10
LS RIB SET,1,TROUSERS,RIB,ONLINE,China,1.3,3000,31.23,8.07,103.4397,10
LS RIB SET,1,TROUSERS,RIB,ONLINE,India,1.3,1680,94.42,26.12,100.0648,10
LS RIB SET,1,TROUSERS,RIB,ONLINE,Japan,1.3,2325,140.3,14.3,97.51375,10
LS RIB SET,1,TROUSERS,RIB,ONLINE,Mexico,1.3,1020,42.4,22.66,98.02811,10
LS RIB SET,1,TROUSERS,RIB,ONLINE,South Korea,1.3,540,15.77,13.67,98.60651,10
LS RIB SET,1,TROUSERS,RIB,ONLINE,Turkey,1.3,5250,25.04,16.41,97.76004,10
BERTIL SS SB,1,T-SHIRTS,SINGLE JERSEY,ONLINE,Australia,0.87,1184,26.72,23.47,100.0924,10
BERTIL SS SB,1,T-SHIRTS,SINGLE JERSEY,ONLINE,China,0.87,5456,31.23,8.07,103.4397,10
BERTIL SS SB,1,T-SHIRTS,SINGLE JERSEY,ONLINE,India,0.87,4448,94.42,26.12,100.0648,10
BERTIL SS SB,1,T-SHIRTS,SINGLE JERSEY,ONLINE,Japan,0.87,4144,140.3,14.3,97.51375,10
BERTIL SS SB,1,T-SHIRTS,SINGLE JERSEY,ONLINE,Mexico,0.87,1616,42.4,22.66,98.02811,10
BERTIL SS SB,1,T-SHIRTS,SINGLE JERSEY,ONLINE,South Korea,0.87,1888,15.77,13.67,98.60651,10
BERTIL SS SB,1,T-SHIRTS,SINGLE JERSEY,ONLINE,Turkey,0.87,5632,25.04,16.41,97.76004,10
TOBIE LS SB,1,T-SHIRTS,SINGLE JERSEY,ONLINE,Australia,1.1,288,26.72,23.47,100.0924,10
TOBIE LS SB,1,T-SHIRTS,SINGLE JERSEY,ONLINE,China,1.1,1712,31.23,8.07,103.4397,10
TOBIE LS SB,1,T-SHIRTS,SINGLE JERSEY,ONLINE,India,1.1,480,94.42,26.12,100.0648,10
TOBIE LS SB,1,T-SHIRTS,SINGLE JERSEY,ONLINE,Italy,1.1,8000,98.65,13.38,99.78658,10
TOBIE LS SB,1,T-SHIRTS,SINGLE JERSEY,ONLINE,Japan,1.1,1088,140.3,14.3,97.51375,10
TOBIE LS SB,1,T-SHIRTS,SINGLE JERSEY,ONLINE,Mexico,1.1,416,42.4,22.66,98.02811,10
TOBIE LS SB,1,T-SHIRTS,SINGLE JERSEY,ONLINE,South Korea,1.1,448,15.77,13.67,98.60651,10
TOBIE LS SB,1,T-SHIRTS,SINGLE JERSEY,ONLINE,Sweden,1.1,11824,66.44,4.93,100.5942,10
TOBIE LS SB,1,T-SHIRTS,SINGLE JERSEY,ONLINE,Turkey,1.1,384,25.04,16.41,97.76004,10
TOBIE LS SB,1,T-SHIRTS,SINGLE JERSEY,ONLINE,United States,1.1,8000,57.35,10.0,99.26201,10
BERTIL SS SB,5,T-SHIRTS,SINGLE JERSEY,ONLINE,Australia,0.92,3360,26.72,23.47,100.0924,10
BERTIL SS SB,5,T-SHIRTS,SINGLE JERSEY,ONLINE,India,0.92,10000,94.42,26.12,100.0648,10
BERTIL SS SB,5,T-SHIRTS,SINGLE JERSEY,ONLINE,Japan,0.92,12400,140.3,14.3,97.51375,10
BERTIL SS SB,5,T-SHIRTS,SINGLE JERSEY,ONLINE,Mexico,0.92,4560,42.4,22.66,98.02811,10
BERTIL SS SB,5,T-SHIRTS,SINGLE JERSEY,ONLINE,South Korea,0.92,5280,15.77,13.67,98.60651,10
BERTIL SS SB,5,T-SHIRTS,SINGLE JERSEY,ONLINE,Turkey,0.92,16160,25.04,16.41,97.76004,10
TOBIE LS SB,5,T-SHIRTS,SINGLE JERSEY,ONLINE,Australia,1.07,6400,26.72,23.47,100.0924,10
TOBIE LS SB,5,T-SHIRTS,SINGLE JERSEY,ONLINE,India,1.07,9520,94.42,26.12,100.0648,10
TOBIE LS SB,5,T-SHIRTS,SINGLE JERSEY,ONLINE,Mexico,1.07,8960,42.4,22.66,98.02811,10
TOBIE LS SB,5,T-SHIRTS,SINGLE JERSEY,ONLINE,South Korea,1.07,9920,15.77,13.67,98.60651,10
TOBIE LS SB,5,T-SHIRTS,SINGLE JERSEY,ONLINE,Australia,0.99,4800,26.72,23.47,100.0924,10
TOBIE LS SB,5,T-SHIRTS,SINGLE JERSEY,ONLINE,India,0.99,12480,94.42,26.12,100.0648,10
TOBIE LS SB,5,T-SHIRTS,SINGLE JERSEY,ONLINE,Japan,0.99,17200,140.3,14.3,97.51375,10
TOBIE LS SB,5,T-SHIRTS,SINGLE JERSEY,ONLINE,Mexico,0.99,6720,42.4,22.66,98.02811,10
TOBIE LS SB,5,T-SHIRTS,SINGLE JERSEY,ONLINE,South Korea,0.99,7440,15.77,13.67,98.60651,10
ALGOT 3P TIGHTS,3,TIGHTS,RIB,ONLINE,Australia,1.11,2475,26.72,23.47,100.0924,10
ALGOT 3P TIGHTS,3,TIGHTS,RIB,ONLINE,India,1.11,9720,94.42,26.12,100.0648,10
ALGOT 3P TIGHTS,3,TIGHTS,RIB,ONLINE,Japan,1.11,5400,140.3,14.3,97.51375,10
ALGOT 3P TIGHTS,3,TIGHTS,RIB,ONLINE,Mexico,1.11,4680,42.4,22.66,98.02811,10
ALGOT 3P TIGHTS,3,TIGHTS,RIB,ONLINE,South Korea,1.11,2655,15.77,13.67,98.60651,10
ALGOT 3P TIGHTS,3,TIGHTS,RIB,ONLINE,Turkey,1.11,8595,25.04,16.41,97.76004,10
BOBO TIGHTS,5,TIGHTS,RIB,ONLINE,Australia,1.0,2400,26.72,23.47,100.0924,10
BOBO TIGHTS,5,TIGHTS,RIB,ONLINE,India,1.0,8400,94.42,26.12,100.0648,10
BOBO TIGHTS,5,TIGHTS,RIB,ONLINE,Japan,1.0,5100,140.3,14.3,97.51375,10
BOBO TIGHTS,5,TIGHTS,RIB,ONLINE,Mexico,1.0,4200,42.4,22.66,98.02811,10
BOBO TIGHTS,5,TIGHTS,RIB,ONLINE,South Korea,1.0,2250,15.77,13.67,98.60651,10
BOBO TIGHTS,5,TIGHTS,RIB,ONLINE,Turkey,1.0,6300,25.04,16.41,97.76004,10
LS RIB SET,1,T-SHIRTS,RIB,STORE,Colombia,1.35,5640,182.34,25.2,96.71297,10
LS RIB SET,1,T-SHIRTS,RIB,STORE,India,1.35,3792,94.42,26.12,100.0648,10
LS RIB SET,1,T-SHIRTS,RIB,STORE,Japan,1.35,18096,140.3,14.3,97.51375,10
LS RIB SET,1,T-SHIRTS,RIB,STORE,Mexico,1.35,16056,42.4,22.66,98.02811,10
LS RIB SET,1,T-SHIRTS,RIB,STORE,South Korea,1.35,3504,15.77,13.67,98.60651,10
LS RIB SET,1,T-SHIRTS,RIB,STORE,Turkey,1.35,17472,25.04,16.41,97.76004,10
LS RIB SET,1,TROUSERS,RIB,STORE,Colombia,1.35,5640,182.34,25.2,96.71297,10
LS RIB SET,1,TROUSERS,RIB,STORE,India,1.35,3792,94.42,26.12,100.0648,10
LS RIB SET,1,TROUSERS,RIB,STORE,Japan,1.35,18096,140.3,14.3,97.51375,10
LS RIB SET,1,TROUSERS,RIB,STORE,Mexico,1.35,16056,42.4,22.66,98.02811,10
LS RIB SET,1,TROUSERS,RIB,STORE,South Korea,1.35,3504,15.77,13.67,98.60651,10
LS RIB SET,1,TROUSERS,RIB,STORE,Turkey,1.35,17472,25.04,16.41,97.76004,10
LS RIB SET,1,T-SHIRTS,RIB,STORE,Colombia,1.35,5640,182.34,25.2,96.71297,10
LS RIB SET,1,T-SHIRTS,RIB,STORE,India,1.35,3792,94.42,26.12,100.0648,10
LS RIB SET,1,T-SHIRTS,RIB,STORE,Japan,1.35,18096,140.3,14.3,97.51375,10
LS RIB SET,1,T-SHIRTS,RIB,STORE,Mexico,1.35,16056,42.4,22.66,98.02811,10
LS RIB SET,1,T-SHIRTS,RIB,STORE,South Korea,1.35,3504,15.77,13.67,98.60651,10
LS RIB SET,1,T-SHIRTS,RIB,STORE,Turkey,1.35,17472,25.04,16.41,97.76004,10
LS RIB SET,1,TROUSERS,RIB,STORE,Colombia,1.35,5640,182.34,25.2,96.71297,10
LS RIB SET,1,TROUSERS,RIB,STORE,India,1.35,3792,94.42,26.12,100.0648,10
LS RIB SET,1,TROUSERS,RIB,STORE,Japan,1.35,18096,140.3,14.3,97.51375,10
LS RIB SET,1,TROUSERS,RIB,STORE,Mexico,1.35,16056,42.4,22.66,98.02811,10
LS RIB SET,1,TROUSERS,RIB,STORE,South Korea,1.35,3504,15.77,13.67,98.60651,10
LS RIB SET,1,TROUSERS,RIB,STORE,Turkey,1.35,17472,25.04,16.41,97.76004,10
ALGOT BODY,3,BODY,RIB,ONLINE,Australia,1.47,1710,26.72,23.47,100.0924,10
ALGOT BODY,3,BODY,RIB,ONLINE,India,1.47,3060,94.42,26.12,100.0648,10
ALGOT BODY,3,BODY,RIB,ONLINE,Japan,1.47,3015,140.3,14.3,97.51375,10
ALGOT BODY,3,BODY,RIB,ONLINE,Mexico,1.47,3195,42.4,22.66,98.02811,10
ALGOT BODY,3,BODY,RIB,ONLINE,South Korea,1.47,1800,15.77,13.67,98.60651,10
ALGOT BODY,3,BODY,RIB,ONLINE,Turkey,1.47,3375,25.04,16.41,97.76004,10
ALGOT 3P TIGHTS,3,TIGHTS,RIB,ONLINE,Australia,1.19,2520,26.72,23.47,100.0924,10
