Style_No,Pack_Qty,Product,Fabric_Type,Order_Category,Country,Price,Quantity,Pre,Temp,CCI,Order_Month
BERTIL SS SB,1,T-SHIRTS,SINGLE JERSEY,ONLINE,Sweden,1.21,9207,35.65,-7.95,100.6832,12
BERTIL SS SB,1,T-SHIRTS,SINGLE JERSEY,ONLINE,United Kingdom,1.21,8793,122.21,5.41,99.94845,12
ALGOT BODY,3,BODY,RIB,ONLINE,Sweden,1.83,7884,35.65,-7.95,100.6832,12
ALGOT BODY,3,BODY,RIB,ONLINE,United Kingdom,1.83,10116,122.21,5.41,99.94845,12
ALGOT BODY,3,BODY,RIB,ONLINE,United States,1.83,12000,59.97,0.91,97.95181,12
BERTIL SS SB,5,T-SHIRTS,SINGLE JERSEY,ONLINE,Australia,1.24,2175,46.67,27.92,100.3343,12
BERTIL SS SB,5,T-SHIRTS,SINGLE JERSEY,ONLINE,India,1.24,2250,14.03,18.49,100.7772,12
BERTIL SS SB,5,T-SHIRTS,SINGLE JERSEY,ONLINE,Italy,1.24,12525,69.56,6.21,102.191,12
BERTIL SS SB,5,T-SHIRTS,SINGLE JERSEY,ONLINE,Japan,1.24,4275,100.46,3.04,99.05020999999999,12
BERTIL SS SB,5,T-SHIRTS,SINGLE JERSEY,ONLINE,Mexico,1.24,750,20.67,17.87,103.4214,12
BERTIL SS SB,5,T-SHIRTS,SINGLE JERSEY,ONLINE,South Korea,1.24,3000,10.8,1.25,100.7174,12
BERTIL SS SB,5,T-SHIRTS,SINGLE JERSEY,ONLINE,Turkey,1.24,750,84.55,3.22,94.64584,12
BERTIL SS SB,1,T-SHIRTS,SINGLE JERSEY,ONLINE,Australia,1.21,750,46.67,27.92,100.3343,12
BERTIL SS SB,1,T-SHIRTS,SINGLE JERSEY,ONLINE,China,1.21,240,9.66,-4.46,103.3074,12
BERTIL SS SB,1,T-SHIRTS,SINGLE JERSEY,ONLINE,India,1.21,9315,14.03,18.49,100.7772,12
BERTIL SS SB,1,T-SHIRTS,SINGLE JERSEY,ONLINE,Italy,1.21,10860,69.56,6.21,102.191,12
BERTIL SS SB,1,T-SHIRTS,SINGLE JERSEY,ONLINE,Japan,1.21,1710,100.46,3.04,99.05020999999999,12
BERTIL SS SB,1,T-SHIRTS,SINGLE JERSEY,ONLINE,Mexico,1.21,240,20.67,17.87,103.4214,12
BERTIL SS SB,1,T-SHIRTS,SINGLE JERSEY,ONLINE,South Korea,1.21,1215,10.8,1.25,100.7174,12
BERTIL SS SB,1,T-SHIRTS,SINGLE JERSEY,ONLINE,Sweden,1.21,7620,35.65,-7.95,100.6832,12
BERTIL SS SB,1,T-SHIRTS,SINGLE JERSEY,ONLINE,Turkey,1.21,450,84.55,3.22,94.64584,12
BERTIL SS SB,1,T-SHIRTS,SINGLE JERSEY,ONLINE,United Kingdom,1.21,7380,122.21,5.41,99.94845,12
BERTIL SS SB,1,T-SHIRTS,SINGLE JERSEY,ONLINE,China,1.21,286,9.66,-4.46,103.3074,12
BERTIL SS SB,1,T-SHIRTS,SINGLE JERSEY,ONLINE,Italy,1.21,13266,69.56,6.21,102.191,12
BERTIL SS SB,1,T-SHIRTS,SINGLE JERSEY,ONLINE,Sweden,1.21,13959,35.65,-7.95,100.6832,12
BERTIL SS SB,1,T-SHIRTS,SINGLE JERSEY,ONLINE,Turkey,1.21,286,84.55,3.22,94.64584,12
BERTIL SS SB,1,T-SHIRTS,SINGLE JERSEY,ONLINE,United Kingdom,1.21,13541,122.21,5.41,99.94845,12
BERTIL SS SB,1,T-SHIRTS,SINGLE JERSEY,ONLINE,Australia,1.24,600,46.67,27.92,100.3343,12
BERTIL SS SB,1,T-SHIRTS,SINGLE JERSEY,ONLINE,India,1.24,5196,14.03,18.49,100.7772,12
BERTIL SS SB,1,T-SHIRTS,SINGLE JERSEY,ONLINE,Italy,1.24,8688,69.56,6.21,102.191,12
BERTIL SS SB,1,T-SHIRTS,SINGLE JERSEY,ONLINE,Japan,1.24,1368,100.46,3.04,99.05020999999999,12
BERTIL SS SB,1,T-SHIRTS,SINGLE JERSEY,ONLINE,Turkey,1.24,252,84.55,3.22,94.64584,12
BERTIL SS SB,1,T-SHIRTS,SINGLE JERSEY,STORE,Germany,1.24,12954,54.91,2.34,100.5436,12
BERTIL SS SB,1,T-SHIRTS,SINGLE JERSEY,STORE,Switzerland,1.24,2898,96.82,0.04,101.0722,12
TOBIE LS SB,1,T-SHIRTS,SINGLE JERSEY,ONLINE,Australia,1.41,442,46.67,27.92,100.3343,12
TOBIE LS SB,1,T-SHIRTS,SINGLE JERSEY,ONLINE,India,1.41,481,14.03,18.49,100.7772,12
TOBIE LS SB,1,T-SHIRTS,SINGLE JERSEY,ONLINE,Italy,1.41,6279,69.56,6.21,102.191,12
TOBIE LS SB,1,T-SHIRTS,SINGLE JERSEY,ONLINE,Japan,1.41,1027,100.46,3.04,99.05020999999999,12
TOBIE LS SB,1,T-SHIRTS,SINGLE JERSEY,ONLINE,Mexico,1.41,143,20.67,17.87,103.4214,12
TOBIE LS SB,1,T-SHIRTS,SINGLE JERSEY,ONLINE,South Korea,1.41,650,10.8,1.25,100.7174,12
TOBIE LS SB,1,T-SHIRTS,SINGLE JERSEY,ONLINE,Sweden,1.41,8814,35.65,-7.95,100.6832,12
TOBIE LS SB,1,T-SHIRTS,SINGLE JERSEY,ONLINE,Turkey,1.41,273,84.55,3.22,94.64584,12
TOBIE LS SB,1,T-SHIRTS,SINGLE JERSEY,ONLINE,United Kingdom,1.41,10686,122.21,5.41,99.94845,12
TOBIE LS SB,1,T-SHIRTS,SINGLE JERSEY,ONLINE,United States,1.41,6500,59.97,0.91,97.95181,12
